Value Set Name,Code,Code System
MIPS 130 Encounter,97532,CPT
MIPS 130 Encounter,97802,CPT
MIPS 130 Encounter,97803,CPT
MIPS 130 Encounter,97804,CPT
MIPS 130 Encounter,98960,CPT
MIPS 130 Encounter,98961,CPT
MIPS 130 Encounter,98962,CPT
MIPS 130 Encounter,99201,CPT
MIPS 130 Encounter,99202,CPT
MIPS 130 Encounter,99203,CPT
MIPS 130 Encounter,99204,CPT
MIPS 130 Encounter,99205,CPT
MIPS 130 Encounter,99212,CPT
MIPS 130 Encounter,99213,CPT
MIPS 130 Encounter,99214,CPT
MIPS 130 Encounter,99215,CPT
MIPS 130 Encounter,99221,CPT
MIPS 130 Encounter,99222,CPT
MIPS 130 Encounter,99223,CPT
MIPS 130 Encounter,99324,CPT
MIPS 130 Encounter,99325,CPT
MIPS 130 Encounter,99326,CPT
MIPS 130 Encounter,99327,CPT
MIPS 130 Encounter,99328,CPT
MIPS 130 Encounter,99334,CPT
MIPS 130 Encounter,99335,CPT
MIPS 130 Encounter,99336,CPT
MIPS 130 Encounter,99337,CPT
MIPS 130 Encounter,99341,CPT
MIPS 130 Encounter,99342,CPT
MIPS 130 Encounter,99343,CPT
MIPS 130 Encounter,99344,CPT
MIPS 130 Encounter,99345,CPT
MIPS 130 Encounter,99347,CPT
MIPS 130 Encounter,99348,CPT
MIPS 130 Encounter,99349,CPT
MIPS 130 Encounter,99350,CPT
MIPS 130 Encounter,99495,CPT
MIPS 130 Encounter,99496,CPT
MIPS 130 Encounter,G0101,HCPCS
MIPS 130 Encounter,G0108,HCPCS
MIPS 130 Encounter,G0270,HCPCS
MIPS 130 Encounter,G0402,HCPCS
MIPS 130 Encounter,G0438,HCPCS
MIPS 130 Encounter,G0439,HCPCS
Performance Met: G8427,G8427,HCPCS
Performance Not Met: G8428,G8428,HCPCS
Denominator Exception: G8430,G8430,HCPCS
MIPS 048 Encounter,99201,CPT
MIPS 048 Encounter,99202,CPT
MIPS 048 Encounter,99203,CPT
MIPS 048 Encounter,99204,CPT
MIPS 048 Encounter,99205,CPT
MIPS 048 Encounter,99212,CPT
MIPS 048 Encounter,99213,CPT
MIPS 048 Encounter,99214,CPT
MIPS 048 Encounter,99215,CPT
MIPS 048 Encounter,99324,CPT
MIPS 048 Encounter,99325,CPT
MIPS 048 Encounter,99326,CPT
MIPS 048 Encounter,99327,CPT
MIPS 048 Encounter,99328,CPT
MIPS 048 Encounter,99334,CPT
MIPS 048 Encounter,99335,CPT
MIPS 048 Encounter,99336,CPT
MIPS 048 Encounter,99337,CPT
MIPS 048 Encounter,99341,CPT
MIPS 048 Encounter,99342,CPT
MIPS 048 Encounter,99343,CPT
MIPS 048 Encounter,99344,CPT
MIPS 048 Encounter,99345,CPT
MIPS 048 Encounter,99347,CPT
MIPS 048 Encounter,99348,CPT
MIPS 048 Encounter,99349,CPT
MIPS 048 Encounter,99350,CPT
MIPS 048 Encounter,G0438,HCPCS
MIPS 048 Encounter,G0439,HCPCS
MIPS 048 Encounter,G0402,HCPCS
MIPS Hospice Service,G9809,HCPCS
MIPS Hospice Service,G9691,HCPCS
MIPS Hospice Service,G9819,HCPCS
MIPS Hospice Service,G9702,HCPCS
MIPS Hospice Service,G9694,HCPCS
MIPS Hospice Service,G9720,HCPCS
MIPS Hospice Service,G9700,HCPCS
MIPS Hospice Service,G9723,HCPCS
MIPS Hospice Service,G9715,HCPCS
MIPS Hospice Service,G9687,HCPCS
MIPS Hospice Service,G9692,HCPCS
MIPS Hospice Service,G9693,HCPCS
MIPS Hospice Service,G9714,HCPCS
MIPS Hospice Service,G9740,HCPCS
MIPS Hospice Service,G9710,HCPCS
MIPS Hospice Service,G9707,HCPCS
MIPS Hospice Service,G9718,HCPCS
MIPS Hospice Service,G9690,HCPCS
MIPS Hospice Service,G9709,HCPCS
MIPS Hospice Service,G9693,HCPCS
Performance Met: 1090F,1090F,CPT
Performance Not Met: 1090F-8P,1090F-8P,CPT
MIPS 128 Encounter,90791,CPT
MIPS 128 Encounter,90792,CPT
MIPS 128 Encounter,90832,CPT
MIPS 128 Encounter,90834,CPT
MIPS 128 Encounter,90837,CPT
MIPS 128 Encounter,96150,CPT
MIPS 128 Encounter,96151,CPT
MIPS 128 Encounter,96152,CPT
MIPS 128 Encounter,97161,CPT
MIPS 128 Encounter,97162,CPT
MIPS 128 Encounter,97163,CPT
MIPS 128 Encounter,97165,CPT
MIPS 128 Encounter,97166,CPT
MIPS 128 Encounter,97167,CPT
MIPS 128 Encounter,97802,CPT
MIPS 128 Encounter,97803,CPT
MIPS 128 Encounter,98960,CPT
MIPS 128 Encounter,99201,CPT
MIPS 128 Encounter,99202,CPT
MIPS 128 Encounter,99203,CPT
MIPS 128 Encounter,99204,CPT
MIPS 128 Encounter,99205,CPT
MIPS 128 Encounter,99212,CPT
MIPS 128 Encounter,99213,CPT
MIPS 128 Encounter,99214,CPT
MIPS 128 Encounter,99215,CPT
MIPS 128 Encounter,D7140,HCPCS
MIPS 128 Encounter,D7210,HCPCS
MIPS 128 Encounter,G0101,HCPCS
MIPS 128 Encounter,G0108,HCPCS
MIPS 128 Encounter,G0270,HCPCS
MIPS 128 Encounter,G0271,HCPCS
MIPS 128 Encounter,G0402,HCPCS
MIPS 128 Encounter,G0438,HCPCS
MIPS 128 Encounter,G0439,HCPCS
MIPS 128 Encounter,G0447,HCPCS
Patient Not Eligible: G8422,G8422,HCPCS
Patient Not Eligible: G8938,G8938,HCPCS
Performance Met: G8420,G8420,HCPCS
Performance Met: G8417,G8417,HCPCS
Performance Met: G8418,G8418,HCPCS
Denominator Exception: G9716,G9716,HCPCS
Performance Not Met: G8421,G8421,HCPCS
Performance Not Met: G8419,G8419,HCPCS
Denominator Exception: 4086F-1P,4086F-1P,CPT
Denominator Exception: 4086F-2P,4086F-2P,CPT
Denominator Exception: 4086F-3P,4086F-3P,CPT
Performance Met: 4086F,4086F,CPT
Performance Not Met: 4086F-8P,4086F-8P,CPT
Coronary Artery Disease (CAD),I25.812,ICD10
Coronary Artery Disease (CAD),I25.82,ICD10
Coronary Artery Disease (CAD),I25.83,ICD10
Coronary Artery Disease (CAD),I25.89,ICD10
Coronary Artery Disease (CAD),I25.9,ICD10
Coronary Artery Disease (CAD),Z95.1,ICD10
Coronary Artery Disease (CAD),Z95.5,ICD10
Coronary Artery Disease (CAD),Z98.61,ICD10
Coronary Artery Disease (CAD),I25.758,ICD10
Coronary Artery Disease (CAD),I25.759,ICD10
Coronary Artery Disease (CAD),I25.760,ICD10
Coronary Artery Disease (CAD),I25.761,ICD10
Coronary Artery Disease (CAD),I25.768,ICD10
Coronary Artery Disease (CAD),I25.769,ICD10
Coronary Artery Disease (CAD),I25.790,ICD10
Coronary Artery Disease (CAD),I25.791,ICD10
Coronary Artery Disease (CAD),I25.798,ICD10
Coronary Artery Disease (CAD),I25.799,ICD10
Coronary Artery Disease (CAD),I25.810,ICD10
Coronary Artery Disease (CAD),I25.811,ICD10
Coronary Artery Disease (CAD),I25.718,ICD10
Coronary Artery Disease (CAD),I25.719,ICD10
Coronary Artery Disease (CAD),I25.720,ICD10
Coronary Artery Disease (CAD),I25.721,ICD10
Coronary Artery Disease (CAD),I25.728,ICD10
Coronary Artery Disease (CAD),I25.729,ICD10
Coronary Artery Disease (CAD),I25.730,ICD10
Coronary Artery Disease (CAD),I25.731,ICD10
Coronary Artery Disease (CAD),I25.738,ICD10
Coronary Artery Disease (CAD),I25.739,ICD10
Coronary Artery Disease (CAD),I25.750,ICD10
Coronary Artery Disease (CAD),I25.751,ICD10
Coronary Artery Disease (CAD),I25.110,ICD10
Coronary Artery Disease (CAD),I25.111,ICD10
Coronary Artery Disease (CAD),I25.118,ICD10
Coronary Artery Disease (CAD),I25.119,ICD10
Coronary Artery Disease (CAD),I25.2,ICD10
Coronary Artery Disease (CAD),I25.5,ICD10
Coronary Artery Disease (CAD),I25.6,ICD10
Coronary Artery Disease (CAD),I25.700,ICD10
Coronary Artery Disease (CAD),I25.701,ICD10
Coronary Artery Disease (CAD),I25.708,ICD10
Coronary Artery Disease (CAD),I25.709,ICD10
Coronary Artery Disease (CAD),I25.710,ICD10
Coronary Artery Disease (CAD),I25.711,ICD10
Coronary Artery Disease (CAD),I21.11,ICD10
Coronary Artery Disease (CAD),I21.19,ICD10
Coronary Artery Disease (CAD),I21.21,ICD10
Coronary Artery Disease (CAD),I21.29,ICD10
Coronary Artery Disease (CAD),I21.3,ICD10
Coronary Artery Disease (CAD),I21.4,ICD10
Coronary Artery Disease (CAD),I22.0,ICD10
Coronary Artery Disease (CAD),I22.1,ICD10
Coronary Artery Disease (CAD),I22.2,ICD10
Coronary Artery Disease (CAD),I22.8,ICD10
Coronary Artery Disease (CAD),I22.9,ICD10
Coronary Artery Disease (CAD),I24.0,ICD10
Coronary Artery Disease (CAD),I24.1,ICD10
Coronary Artery Disease (CAD),I24.8,ICD10
Coronary Artery Disease (CAD),I24.9,ICD10
Coronary Artery Disease (CAD),I25.10,ICD10
Coronary Artery Disease (CAD),I20.0,ICD10
Coronary Artery Disease (CAD),I20.1,ICD10
Coronary Artery Disease (CAD),I20.8,ICD10
Coronary Artery Disease (CAD),I20.9,ICD10
Coronary Artery Disease (CAD),I21.01,ICD10
Coronary Artery Disease (CAD),I21.02,ICD10
Coronary Artery Disease (CAD),I21.09,ICD10
MIPS 006 Encounter,99201,CPT
MIPS 006 Encounter,99202,CPT
MIPS 006 Encounter,99203,CPT
MIPS 006 Encounter,99204,CPT
MIPS 006 Encounter,99205,CPT
MIPS 006 Encounter,99212,CPT
MIPS 006 Encounter,99214,CPT
MIPS 006 Encounter,99215,CPT
MIPS 006 Encounter,99304,CPT
MIPS 006 Encounter,99305,CPT
MIPS 006 Encounter,99306,CPT
MIPS 006 Encounter,99307,CPT
MIPS 006 Encounter,99308,CPT
MIPS 006 Encounter,99309,CPT
MIPS 006 Encounter,99310,CPT
MIPS 006 Encounter,99324,CPT
MIPS 006 Encounter,99325,CPT
MIPS 006 Encounter,99326,CPT
MIPS 006 Encounter,99327,CPT
MIPS 006 Encounter,99328,CPT
MIPS 006 Encounter,99334,CPT
MIPS 006 Encounter,99335,CPT
MIPS 006 Encounter,99336,CPT
MIPS 006 Encounter,99337,CPT
MIPS 006 Encounter,99341,CPT
MIPS 006 Encounter,99342,CPT
MIPS 006 Encounter,99343,CPT
MIPS 006 Encounter,99344,CPT
MIPS 006 Encounter,99345,CPT
MIPS 006 Encounter,99347,CPT
MIPS 006 Encounter,99348,CPT
MIPS 006 Encounter,99349,CPT
MIPS 006 Encounter,99350,CPT
MIPS 006 Encounter,99201,CPT
MIPS 006 Encounter,99202,CPT
MIPS 006 Encounter,99203,CPT
MIPS 006 Encounter,99204,CPT
MIPS 006 Encounter,99205,CPT
MIPS 006 Encounter,99212,CPT
MIPS 006 Encounter,99213,CPT
MIPS 006 Encounter,99214,CPT
MIPS 006 Encounter,99215,CPT
MIPS 006 Encounter,99304,CPT
MIPS 006 Encounter,99305,CPT
MIPS 006 Encounter,99306,CPT
MIPS 006 Encounter,99307,CPT
MIPS 006 Encounter,99308,CPT
MIPS 006 Encounter,99309,CPT
MIPS 006 Encounter,99310,CPT
MIPS 006 Encounter,99324,CPT
MIPS 006 Encounter,99325,CPT
MIPS 006 Encounter,99326,CPT
MIPS 006 Encounter,99327,CPT
MIPS 006 Encounter,99328,CPT
MIPS 006 Encounter,99334,CPT
MIPS 006 Encounter,99335,CPT
MIPS 006 Encounter,99336,CPT
MIPS 006 Encounter,99337,CPT
MIPS 006 Encounter,99341,CPT
MIPS 006 Encounter,99342,CPT
MIPS 006 Encounter,99343,CPT
MIPS 006 Encounter,99344,CPT
MIPS 006 Encounter,99345,CPT
MIPS 006 Encounter,99347,CPT
MIPS 006 Encounter,99348,CPT
MIPS 006 Encounter,99349,CPT
MIPS 006 Encounter,99350,CPT
MIPS 006 Encounter,99213,CPT
Telehealth Modifier,GQ,CPT
Telehealth Modifier,GT,CPT
MIPS 117 Encounter,92002,CPT
MIPS 117 Encounter,92004,CPT
MIPS 117 Encounter,92012,CPT
MIPS 117 Encounter,92014,CPT
MIPS 117 Encounter,99201,CPT
MIPS 117 Encounter,99202,CPT
MIPS 117 Encounter,99203,CPT
MIPS 117 Encounter,99204,CPT
MIPS 117 Encounter,99205,CPT
MIPS 117 Encounter,99212,CPT
MIPS 117 Encounter,99213,CPT
MIPS 117 Encounter,99214,CPT
MIPS 117 Encounter,99215,CPT
MIPS 117 Encounter,99341,CPT
MIPS 117 Encounter,99342,CPT
MIPS 117 Encounter,99343,CPT
MIPS 117 Encounter,99344,CPT
MIPS 117 Encounter,99345,CPT
MIPS 117 Encounter,99347,CPT
MIPS 117 Encounter,99348,CPT
MIPS 117 Encounter,99349,CPT
MIPS 117 Encounter,99350,CPT
MIPS 117 Encounter,G0402,HCPCS
MIPS 117 Encounter,G0438,HCPCS
MIPS 117 Encounter,G0439,HCPCS
Diabetes,E10.10,ICD10CM
Diabetes,E10.11,ICD10CM
Diabetes,E10.21,ICD10CM
Diabetes,E10.22,ICD10CM
Diabetes,E10.29,ICD10CM
Diabetes,E10.311,ICD10CM
Diabetes,E10.319,ICD10CM
Diabetes,E10.3211,ICD10CM
Diabetes,E10.3212,ICD10CM
Diabetes,E10.3213,ICD10CM
Diabetes,E10.3219,ICD10CM
Diabetes,E10.3291,ICD10CM
Diabetes,E10.3292,ICD10CM
Diabetes,E10.3293,ICD10CM
Diabetes,E10.3299,ICD10CM
Diabetes,E10.3311,ICD10CM
Diabetes,E10.3312,ICD10CM
Diabetes,E10.3313,ICD10CM
Diabetes,E10.3319,ICD10CM
Diabetes,E10.3391,ICD10CM
Diabetes,E10.3392,ICD10CM
Diabetes,E10.3393,ICD10CM
Diabetes,E10.3399,ICD10CM
Diabetes,E10.3411,ICD10CM
Diabetes,E10.3412,ICD10CM
Diabetes,E10.3413,ICD10CM
Diabetes,E10.3419,ICD10CM
Diabetes,E10.3491,ICD10CM
Diabetes,E10.3492,ICD10CM
Diabetes,E10.3493,ICD10CM
Diabetes,E10.3499,ICD10CM
Diabetes,E10.3511,ICD10CM
Diabetes,E10.3512,ICD10CM
Diabetes,E10.3513,ICD10CM
Diabetes,E10.3519,ICD10CM
Diabetes,E10.3521,ICD10CM
Diabetes,E10.3522,ICD10CM
Diabetes,E10.3523,ICD10CM
Diabetes,E10.3529,ICD10CM
Diabetes,E10.3531,ICD10CM
Diabetes,E10.3532,ICD10CM
Diabetes,E10.3533,ICD10CM
Diabetes,E10.3539,ICD10CM
Diabetes,E10.3541,ICD10CM
Diabetes,E10.3542,ICD10CM
Diabetes,E10.3543,ICD10CM
Diabetes,E10.3549,ICD10CM
Diabetes,E10.3551,ICD10CM
Diabetes,E10.3552,ICD10CM
Diabetes,E10.3553,ICD10CM
Diabetes,E10.3559,ICD10CM
Diabetes,E10.3591,ICD10CM
Diabetes,E10.3592,ICD10CM
Diabetes,E10.3593,ICD10CM
Diabetes,E10.3599,ICD10CM
Diabetes,E10.36,ICD10CM
Diabetes,E10.37X1,ICD10CM
Diabetes,E10.37X2,ICD10CM
Diabetes,E10.37X3,ICD10CM
Diabetes,E10.37X9,ICD10CM
Diabetes,E10.39,ICD10CM
Diabetes,E10.40,ICD10CM
Diabetes,E10.41,ICD10CM
Diabetes,E10.42,ICD10CM
Diabetes,E10.43,ICD10CM
Diabetes,E10.44,ICD10CM
Diabetes,E10.49,ICD10CM
Diabetes,E10.51,ICD10CM
Diabetes,E10.52,ICD10CM
Diabetes,E10.59,ICD10CM
Diabetes,E10.610,ICD10CM
Diabetes,E10.618,ICD10CM
Diabetes,E10.620,ICD10CM
Diabetes,E10.621,ICD10CM
Diabetes,E10.622,ICD10CM
Diabetes,E10.628,ICD10CM
Diabetes,E10.630,ICD10CM
Diabetes,E10.638,ICD10CM
Diabetes,E10.641,ICD10CM
Diabetes,E10.649,ICD10CM
Diabetes,E10.65,ICD10CM
Diabetes,E10.69,ICD10CM
Diabetes,E10.8,ICD10CM
Diabetes,E10.9,ICD10CM
Diabetes,E11.00,ICD10CM
Diabetes,E11.01,ICD10CM
Diabetes,E11.21,ICD10CM
Diabetes,E11.22,ICD10CM
Diabetes,E11.29,ICD10CM
Diabetes,E11.311,ICD10CM
Diabetes,E11.319,ICD10CM
Diabetes,E11.3211,ICD10CM
Diabetes,E11.3212,ICD10CM
Diabetes,E11.3213,ICD10CM
Diabetes,E11.3219,ICD10CM
Diabetes,E11.3291,ICD10CM
Diabetes,E11.3292,ICD10CM
Diabetes,E11.3293,ICD10CM
Diabetes,E11.3299,ICD10CM
Diabetes,E11.3311,ICD10CM
Diabetes,E11.3312,ICD10CM
Diabetes,E11.3313,ICD10CM
Diabetes,E11.3319,ICD10CM
Diabetes,E11.3391,ICD10CM
Diabetes,E11.3392,ICD10CM
Diabetes,E11.3393,ICD10CM
Diabetes,E11.3399,ICD10CM
Diabetes,E11.3411,ICD10CM
Diabetes,E11.3412,ICD10CM
Diabetes,E11.3413,ICD10CM
Diabetes,E11.3419,ICD10CM
Diabetes,E11.3491,ICD10CM
Diabetes,E11.3492,ICD10CM
Diabetes,E11.3493,ICD10CM
Diabetes,E11.3499,ICD10CM
Diabetes,E11.3511,ICD10CM
Diabetes,E11.3512,ICD10CM
Diabetes,E11.3513,ICD10CM
Diabetes,E11.3519,ICD10CM
Diabetes,E11.3521,ICD10CM
Diabetes,E11.3522,ICD10CM
Diabetes,E11.3523,ICD10CM
Diabetes,E11.3529,ICD10CM
Diabetes,E11.3531,ICD10CM
Diabetes,E11.3532,ICD10CM
Diabetes,E11.3533,ICD10CM
Diabetes,E11.3539,ICD10CM
Diabetes,E11.3541,ICD10CM
Diabetes,E11.3542,ICD10CM
Diabetes,E11.3543,ICD10CM
Diabetes,E11.3549,ICD10CM
Diabetes,E11.3551,ICD10CM
Diabetes,E11.3552,ICD10CM
Diabetes,E11.3553,ICD10CM
Diabetes,E11.3559,ICD10CM
Diabetes,E11.3591,ICD10CM
Diabetes,E11.3592,ICD10CM
Diabetes,E11.3593,ICD10CM
Diabetes,E11.3599,ICD10CM
Diabetes,E11.36,ICD10CM
Diabetes,E11.37X1,ICD10CM
Diabetes,E11.37X2,ICD10CM
Diabetes,E11.37X3,ICD10CM
Diabetes,E11.37X9,ICD10CM
Diabetes,E11.39,ICD10CM
Diabetes,E11.40,ICD10CM
Diabetes,E11.41,ICD10CM
Diabetes,E11.42,ICD10CM
Diabetes,E11.43,ICD10CM
Diabetes,E11.44,ICD10CM
Diabetes,E11.49,ICD10CM
Diabetes,E11.51,ICD10CM
Diabetes,E11.52,ICD10CM
Diabetes,E11.59,ICD10CM
Diabetes,E11.610,ICD10CM
Diabetes,E11.618,ICD10CM
Diabetes,E11.620,ICD10CM
Diabetes,E11.621,ICD10CM
Diabetes,E11.622,ICD10CM
Diabetes,E11.628,ICD10CM
Diabetes,E11.630,ICD10CM
Diabetes,E11.638,ICD10CM
Diabetes,E11.641,ICD10CM
Diabetes,E11.649,ICD10CM
Diabetes,E11.65,ICD10CM
Diabetes,E11.69,ICD10CM
Diabetes,E11.8,ICD10CM
Diabetes,E11.9,ICD10CM
Diabetes,E13.00,ICD10CM
Diabetes,E13.01,ICD10CM
Diabetes,E13.10,ICD10CM
Diabetes,E13.11,ICD10CM
Diabetes,E13.21,ICD10CM
Diabetes,E13.22,ICD10CM
Diabetes,E13.29,ICD10CM
Diabetes,E13.311,ICD10CM
Diabetes,E13.319,ICD10CM
Diabetes,E13.3211,ICD10CM
Diabetes,E13.3212,ICD10CM
Diabetes,E13.3213,ICD10CM
Diabetes,E13.3219,ICD10CM
Diabetes,E13.3291,ICD10CM
Diabetes,E13.3292,ICD10CM
Diabetes,E13.3293,ICD10CM
Diabetes,E13.3299,ICD10CM
Diabetes,E13.3311,ICD10CM
Diabetes,E13.3312,ICD10CM
Diabetes,E13.3313,ICD10CM
Diabetes,E13.3319,ICD10CM
Diabetes,E13.3391,ICD10CM
Diabetes,E13.3392,ICD10CM
Diabetes,E13.3393,ICD10CM
Diabetes,E13.3399,ICD10CM
Diabetes,E13.3411,ICD10CM
Diabetes,E13.3412,ICD10CM
Diabetes,E13.3413,ICD10CM
Diabetes,E13.3419,ICD10CM
Diabetes,E13.3491,ICD10CM
Diabetes,E13.3492,ICD10CM
Diabetes,E13.3493,ICD10CM
Diabetes,E13.3499,ICD10CM
Diabetes,E13.3511,ICD10CM
Diabetes,E13.3512,ICD10CM
Diabetes,E13.3513,ICD10CM
Diabetes,E13.3519,ICD10CM
Diabetes,E13.3521,ICD10CM
Diabetes,E13.3522,ICD10CM
Diabetes,E13.3523,ICD10CM
Diabetes,E13.3529,ICD10CM
Diabetes,E13.3531,ICD10CM
Diabetes,E13.3532,ICD10CM
Diabetes,E13.3533,ICD10CM
Diabetes,E13.3539,ICD10CM
Diabetes,E13.3541,ICD10CM
Diabetes,E13.3542,ICD10CM
Diabetes,E13.3543,ICD10CM
Diabetes,E13.3549,ICD10CM
Diabetes,E13.3551,ICD10CM
Diabetes,E13.3552,ICD10CM
Diabetes,E13.3553,ICD10CM
Diabetes,E13.3559,ICD10CM
Diabetes,E13.3591,ICD10CM
Diabetes,E13.3592,ICD10CM
Diabetes,E13.3593,ICD10CM
Diabetes,E13.3599,ICD10CM
Diabetes,E13.36,ICD10CM
Diabetes,E13.37X1,ICD10CM
Diabetes,E13.37X2,ICD10CM
Diabetes,E13.37X3,ICD10CM
Diabetes,E13.37X9,ICD10CM
Diabetes,E13.39,ICD10CM
Diabetes,E13.40,ICD10CM
Diabetes,E13.41,ICD10CM
Diabetes,E13.42,ICD10CM
Diabetes,E13.43,ICD10CM
Diabetes,E13.44,ICD10CM
Diabetes,E13.49,ICD10CM
Diabetes,E13.51,ICD10CM
Diabetes,E13.52,ICD10CM
Diabetes,E13.59,ICD10CM
Diabetes,E13.610,ICD10CM
Diabetes,E13.618,ICD10CM
Diabetes,E13.620,ICD10CM
Diabetes,E13.621,ICD10CM
Diabetes,E13.622,ICD10CM
Diabetes,E13.628,ICD10CM
Diabetes,E13.630,ICD10CM
Diabetes,E13.638,ICD10CM
Diabetes,E13.641,ICD10CM
Diabetes,E13.649,ICD10CM
Diabetes,E13.65,ICD10CM
Diabetes,E13.69,ICD10CM
Diabetes,E13.8,ICD10CM
Diabetes,E13.9,ICD10CM
Diabetes,O24.011,ICD10CM
Diabetes,O24.012,ICD10CM
Diabetes,O24.013,ICD10CM
Diabetes,O24.019,ICD10CM
Diabetes,O24.02,ICD10CM
Diabetes,O24.03,ICD10CM
Diabetes,O24.111,ICD10CM
Diabetes,O24.112,ICD10CM
Diabetes,O24.113,ICD10CM
Diabetes,O24.119,ICD10CM
Diabetes,O24.12,ICD10CM
Diabetes,O24.13,ICD10CM
Diabetes,O24.311,ICD10CM
Diabetes,O24.312,ICD10CM
Diabetes,O24.313,ICD10CM
Diabetes,O24.319,ICD10CM
Diabetes,O24.32,ICD10CM
Diabetes,O24.33,ICD10CM
Diabetes,O24.811,ICD10CM
Diabetes,O24.812,ICD10CM
Diabetes,O24.813,ICD10CM
Diabetes,O24.819,ICD10CM
Diabetes,O24.82,ICD10CM
Diabetes,O24.83,ICD10CM
Performance Met: 2022F,2022F,CPT
Performance Met: 2024F,2024F,CPT
Performance Met: 2026F,2026F,CPT
Performance Met: 3072F,3072F,CPT
Performance Not Met: 2022F-8P,2022F-8P,CPT
Performance Not Met: 2024F-8P,2024F-8P,CPT
Performance Not Met: 2026F-8P,2026F-8P,CPT
MIPS 236 Encounter,99201,CPT
MIPS 236 Encounter,99202,CPT
MIPS 236 Encounter,99203,CPT
MIPS 236 Encounter,99204,CPT
MIPS 236 Encounter,99205,CPT
MIPS 236 Encounter,99212,CPT
MIPS 236 Encounter,99213,CPT
MIPS 236 Encounter,99214,CPT
MIPS 236 Encounter,99215,CPT
MIPS 236 Encounter,99341,CPT
MIPS 236 Encounter,99342,CPT
MIPS 236 Encounter,99343,CPT
MIPS 236 Encounter,99344,CPT
MIPS 236 Encounter,99345,CPT
MIPS 236 Encounter,99347,CPT
MIPS 236 Encounter,99348,CPT
MIPS 236 Encounter,99349,CPT
MIPS 236 Encounter,99350,CPT
MIPS 236 Encounter,G0402,HCPCS
MIPS 236 Encounter,G0438,HCPCS
MIPS 236 Encounter,G0439,HCPCS
Clinical Exclusion: G9231,G9231,HCPCS
Performance Met: G8752,G8752,HCPCS
Performance Not Met: G8753,G8753,HCPCS
Performance Met: G8754,G8754,HCPCS
Performance Not Met: G8755,G8755,HCPCS
Performance Not Met: G8756,G8756,HCPCS
Hypertension,I10,ICD10CM
MIPS 110 Encounter,99201,CPT
MIPS 110 Encounter,99202,CPT
MIPS 110 Encounter,99203,CPT
MIPS 110 Encounter,99204,CPT
MIPS 110 Encounter,99205,CPT
MIPS 110 Encounter,99212,CPT
MIPS 110 Encounter,99213,CPT
MIPS 110 Encounter,99214,CPT
MIPS 110 Encounter,99215,CPT
MIPS 110 Encounter,99241,CPT
MIPS 110 Encounter,99242,CPT
MIPS 110 Encounter,99243,CPT
MIPS 110 Encounter,99244,CPT
MIPS 110 Encounter,99245,CPT
MIPS 110 Encounter,99324,CPT
MIPS 110 Encounter,99325,CPT
